Symbol,US Trading Venue,Trading Date,OTC Tier,Caveat Emptor,Security Type,Security Class,Security Name,Country of Domicile,Company Name
GNSG,OTC Link,04/01/2018,OTC Pink No Information,Y,Common Stock,,GNS GROUP INC,USA,"GNS Group, Inc. (The)"
GNTOF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,GENTOR RESOURCES INC,Canada,"Gentor Resources, Inc."
GNTP,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GLOBAL ENTERTAINMENT CORP,USA,Global Entertainment Corp.
GNTW,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,GLOBE NET WIRELESS CORP.,China,Globe Net Wireless Corp.
GNWSF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,GENENEWS LTD NEW,Canada,GeneNews Ltd.
GNXP,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GUINNESS EXPLORATION INC,New Zealand,"Guinness Exploration, Inc."
GNYPF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,GAINEY CAPITAL CORP,Canada,Gainey Capital Corp.
GNZR,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GENERATION ZERO GORUP INC,USA,"Generation Zero Group, Inc."
GNZUF,OTC Link,04/01/2018,OTC Pink Current,N,Ordinary Shares,,GUANGZHOU AUTOMOBILE ORD,,"Guangzhou Automobile Group Co., Ltd."
GNZUY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,GUANGZHOU AUTOMOBILE ADR,,"Guangzhou Automobile Group Co., Ltd."
GOBK,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GLOBALINK LTD,Canada,"Globalink, Ltd."
GOFF,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GOFF CORP NEW,USA,Goff Corp
GOFPY,OTC Link,04/01/2018,OTC Pink Current,N,American Depository Receipts,,GREEK ORGANISTN UNSP/ADR,Greece,Greek Organisation of Football Prognostics SA
GOGR,OTC Link,04/01/2018,OTC Pink No Information,N,Common Stock,,GO GREEN GLOBAL TECH INC,USA,Go Green Global Technologies Corp.
GOGY,OTC Link,04/01/2018,OTC Pink Current,N,Common Stock,,GOLDEN GRAIL TECH CORP,USA,Golden Grail Technology Corp
